description,amount,category
BT Broadband £14.33,14.33,Bills
Local Restaurant £71.97,71.97,Eating Out
Lidl £4.43,4.43,Groceries
Lidl £84.85,84.85,Groceries
Thames Water £84.29,84.29,Bills
Shell Petrol Station £79.39,79.39,Transport
Steam Purchase £11.24,11.24,Entertainment
Starbucks £80.03,80.03,Eating Out
Cineworld £4.87,4.87,Entertainment
eBay £52.91,52.91,Shopping
Starbucks £85.6,85.6,Eating Out
Tesco £79.5,79.5,Groceries
Waitrose £67.87,67.87,Groceries
Asda £25.35,25.35,Groceries
IKEA £4.68,4.68,Shopping
Aldi £106.03,106.03,Groceries
Odeon £79.16,79.16,Entertainment
KFC £65.51,65.51,Eating Out
eBay £48.95,48.95,Shopping
EE Mobile £82.81,82.81,Bills
Currys £11.19,11.19,Shopping
McDonald's £5.94,5.94,Eating Out
Steam Purchase £29.5,29.5,Entertainment
eBay £81.63,81.63,Shopping
Argos £39.71,39.71,Shopping
Thames Water £101.96,101.96,Bills
Uber £87.31,87.31,Transport
Spotify £50.45,50.45,Entertainment
Tesco £38.67,38.67,Groceries
Local Restaurant £15.13,15.13,Eating Out
McDonald's £63.39,63.39,Eating Out
British Gas £61.65,61.65,Bills
Spotify £39.83,39.83,Entertainment
Steam Purchase £118.24,118.24,Entertainment
Amazon £57.58,57.58,Shopping
Local Restaurant £109.85,109.85,Eating Out
Nando's £68.12,68.12,Eating Out
Spotify £46.72,46.72,Entertainment
Odeon £78.46,78.46,Entertainment
BT Broadband £88.52,88.52,Bills
Netflix £58.53,58.53,Entertainment
KFC £31.51,31.51,Eating Out
Sainsbury's £56.37,56.37,Groceries
Aldi £119.33,119.33,Groceries
Amazon £116.37,116.37,Shopping
Local Restaurant £4.73,4.73,Eating Out
Thames Water £84.79,84.79,Bills
EE Mobile £10.1,10.1,Bills
Waitrose £67.12,67.12,Groceries
Lidl £40.19,40.19,Groceries
Argos £68.95,68.95,Shopping
Argos £53.66,53.66,Shopping
Asda £5.0,5.0,Groceries
Sainsbury's £85.29,85.29,Groceries
Netflix £13.74,13.74,Entertainment
McDonald's £78.1,78.1,Eating Out
Argos £74.57,74.57,Shopping
Steam Purchase £16.18,16.18,Entertainment
Thames Water £61.35,61.35,Bills
Spotify £99.88,99.88,Entertainment
Thames Water £51.41,51.41,Bills
Netflix £31.95,31.95,Entertainment
Trainline £119.0,119.0,Transport
Argos £102.25,102.25,Shopping
Spotify £95.66,95.66,Entertainment
Waitrose £84.15,84.15,Groceries
BP Fuel £37.33,37.33,Transport
Nando's £70.6,70.6,Eating Out
Asda £46.78,46.78,Groceries
eBay £108.57,108.57,Shopping
Odeon £17.42,17.42,Entertainment
KFC £9.58,9.58,Eating Out
Local Restaurant £6.84,6.84,Eating Out
Spotify £106.31,106.31,Entertainment
Cineworld £107.82,107.82,Entertainment
Tesco £113.27,113.27,Groceries
KFC £101.74,101.74,Eating Out
Stagecoach Bus £96.12,96.12,Transport
Nando's £112.26,112.26,Eating Out
Cineworld £42.21,42.21,Entertainment
British Gas £112.05,112.05,Bills
Nando's £82.26,82.26,Eating Out
BP Fuel £100.07,100.07,Transport
Trainline £61.8,61.8,Transport
British Gas £112.66,112.66,Bills
Thames Water £117.44,117.44,Bills
BP Fuel £98.91,98.91,Transport
Tesco £48.94,48.94,Groceries
Nando's £37.41,37.41,Eating Out
Trainline £58.14,58.14,Transport
Currys £107.5,107.5,Shopping
KFC £102.24,102.24,Eating Out
Amazon £4.13,4.13,Shopping
Spotify £22.19,22.19,Entertainment
McDonald's £98.11,98.11,Eating Out
McDonald's £92.59,92.59,Eating Out
Local Restaurant £26.18,26.18,Eating Out
Trainline £78.54,78.54,Transport
Aldi £44.15,44.15,Groceries
O2 Mobile £100.5,100.5,Bills
Asda £8.0,8.0,Groceries
Amazon £104.9,104.9,Shopping
Starbucks £56.53,56.53,Eating Out
Stagecoach Bus £68.71,68.71,Transport
Uber £30.24,30.24,Transport
Stagecoach Bus £42.17,42.17,Transport
British Gas £119.9,119.9,Bills
O2 Mobile £64.83,64.83,Bills
EE Mobile £117.96,117.96,Bills
Shell Petrol Station £40.85,40.85,Transport
Odeon £62.18,62.18,Entertainment
Waitrose £7.07,7.07,Groceries
Local Restaurant £71.13,71.13,Eating Out
O2 Mobile £56.23,56.23,Bills
Shell Petrol Station £44.09,44.09,Transport
EE Mobile £32.96,32.96,Bills
Odeon £49.82,49.82,Entertainment
KFC £34.55,34.55,Eating Out
Uber £94.56,94.56,Transport
Waitrose £95.86,95.86,Groceries
Waitrose £107.79,107.79,Groceries
British Gas £11.13,11.13,Bills
McDonald's £8.73,8.73,Eating Out
Odeon £21.5,21.5,Entertainment
Odeon £3.59,3.59,Entertainment
Netflix £63.98,63.98,Entertainment
eBay £12.1,12.1,Shopping
IKEA £90.99,90.99,Shopping
Odeon £106.88,106.88,Entertainment
Local Restaurant £107.61,107.61,Eating Out
Trainline £41.31,41.31,Transport
EE Mobile £52.82,52.82,Bills
eBay £66.03,66.03,Shopping
Waitrose £104.17,104.17,Groceries
Waitrose £116.92,116.92,Groceries
Lidl £117.98,117.98,Groceries
Spotify £39.75,39.75,Entertainment
Steam Purchase £46.34,46.34,Entertainment
EE Mobile £116.21,116.21,Bills
Amazon £99.51,99.51,Shopping
Argos £102.97,102.97,Shopping
Currys £84.3,84.3,Shopping
eBay £22.7,22.7,Shopping
Thames Water £74.04,74.04,Bills
Cineworld £105.64,105.64,Entertainment
Local Restaurant £12.49,12.49,Eating Out
Amazon £102.32,102.32,Shopping
Aldi £88.39,88.39,Groceries
Uber £83.29,83.29,Transport
Spotify £5.41,5.41,Entertainment
Nando's £25.92,25.92,Eating Out
Thames Water £43.0,43.0,Bills
Asda £83.86,83.86,Groceries
Odeon £11.64,11.64,Entertainment
Netflix £97.82,97.82,Entertainment
Lidl £17.61,17.61,Groceries
